X,Y,objectid,nazev,obec,konstrukce,vyska,nadm_vyska,v_provozu
16.6221181074406,49.2480189488079,1,Ostrá horka,Soběšice,kovová,19,404,2008
16.6086777519788,49.1931126811872,2,Vyhlídková věž Staré radnice Brno,Brno,zděná,63,222,nezjištěno
16.5999789473901,49.1944666508066,3,Vyhlídková věž Špilberk,Brno,zděná,29,289,nezjištěno
16.6233662374977,49.1698513536212,4,Komec,Komárov,cihlová,25,197,2014
16.4960655557434,49.2234690843226,5,Chvalovka,Bystrc,dřevěná,4,352,2018
16.5761666025712,49.3050968294149,6,Babí lom,Lelekovice,betonová,15,511,1961
16.5184161900672,49.3220740641461,7,Zlobice,Malhostovice,betonová,"12,5",406,2009
16.4846968192676,49.3199005838554,8,Čebínka,Čebín,ocelová,38,429,2003
16.4405023401397,49.3467124988577,9,Klucanina,Tišnov,zděná,"29,3",402,2003
16.6726969391591,49.2978883190512,10,Alexandrova rozhledna,Adamov,kamenná,17,495,1887
16.7039900779049,49.3890524250426,11,Podvrší Veselice,Vavřinec,železo-betonová,49,590,2001
16.6091593295567,49.4011663699543,12,Spešovská rozhledna,Spešov,dřevěná,8,371,2012
16.5404798522145,49.4051195115435,13,Žernovník,Žernovník,dřevěno-ocelová,13,444,2014
16.5858317523058,49.4513527053297,14,Malý Chlum,Krhov,dřevěná,9,489,2005
16.4638480763114,49.4436599610667,15,Babylon,Kozárov,kovová,42,651,2000
16.661340243423,49.4870217809961,16,Radniční vež Boskovice,Boskovice,cihlová,42,388,2010
16.4555860429097,49.5708826966468,17,Zelenkův kopec,Ústup,dřevěná,7,666,2006
16.7550055551653,49.2231197907717,18,Mokrá-Horákov,Mokrá-Horákov,železná,"10,8",362,2015
16.8710652992581,49.1577887289663,19,Vyhlídková věž Slavkov u Brna,Slavkov u Brna,cihlová,9,223,2003
16.5402979882293,49.0625110877702,20,Vodojem Bratčice,Bratčice,cihlová,6,233,2003
16.6390404507065,49.0418622658497,21,Akátová věž,Židlochovice, ,14.5 ,355, 
16.42609998644,49.117386580773,22,Rozhledna Vladimíra Menšíka,Hlína,dřevěno-betonová,22,362,2007
16.3428390574099,49.1266157501313,23,Těžní věž Kukla,Oslavany,betonová,41,270,2012
16.7427434720022,48.953477154807,24,Hustopeče,Hustopeče,dřevěná,"17,4",303,2012
16.8194748632561,48.9805678773446,25,Nedánov,Boleradice,dřevěno-ocelová,26,365,2009
16.8470867905186,48.9285233639641,26,Kraví hora u Bořetic,Bořetice,dřevěná,15,273,2006
16.7842039214238,48.9150865618212,27,U Obrázku,Starovičky,dřevěná,7,265,2007
16.7497070863555,48.8701901613956,28,Dalibor,Zaječí,zděná,11,262,2012
16.7710641399076,48.863842603928,29,Maják,Přítluky,dřevěno-ocelová,"27,6",288,2012
16.8337230759072,48.9053470532336,30,Slunečná,Velké Pavlovice,dřevěno-ocelová,"18,6",224,2009
16.9076599836994,48.9274224050688,31,Stezka nad vinohrady Kobylí,Kobylí,dřevěno-ocelová,8,334,2018
17.0217910890195,48.9205417122391,32,Vyšicko,Mutěnice,dřevěno-ocelová,12,267,2018
17.0855349929612,48.8042992063539,33,Vyhlídková věž Mikulčice,Mikulčice,kovová,30,160,2015
16.6380617871755,48.8095302637724,34,Kozí hrádek,Mikulov,kamenno-ocelová,13,288,1920
15.7148351730595,48.9434492112983,35,Rumburak,Bítov,cihlová,30,470,2009
17.3317074075218,48.8505380339588,36,Holý vrch,Radějov,dřevěná,6,388,2015
17.3656681756824,48.8600551440013,37,Travičná,Tvarožná lhota,kovová,"52,6",372,2001
17.3939283829609,48.8671868429346,38,Šumárník,Kněždub,dřevěná,nezjištěno,398,nezjištěno
15.9280016462681,48.9974033642479,39,Anička,Jiřice u Moravských Budějovic,dřevěná,10,392,2011
17.0912553277564,49.0402401279945,40,Bukovanský mlýn,Bukovany,kamenná,15,322,2004
16.5443520312978,49.2148698225737,41,Holedná,Jundrov,ocelová,35,305,2020
17.0311404851298,49.2251995514092,42,Holý kopec,Bohdalice,cihlová,6,373,2004
16.9377129528287,49.2796812982803,43,Chocholík,Drnovice,kovová,26,366,2011
16.5560162841264,49.1828516457556,44,Kamenný vrch,Nový Lískovec,železobetonová,"6,5",351,2011
16.3715388172436,49.3729786853994,45,Křivoš,Kaly,dřevěná,7,464,2004
16.812714559374,48.8141948582232,46,Lednický Minaret,Lednice,betonová,"59,4",161,nezjištěno
16.9674138346528,48.8628788187293,47,Na podluží,Nový Poddvorov,kovová,30,260,2010
17.4281214229802,48.9249381452313,48,Radošov u Veslí nad Moravou,Veselí nad Moravou,dřevěno-ocelová,"16,4",242,2014
16.3857190819622,49.0970260869206,49,Rozhledna Alfonse Muchy (Réna),Ivančice,betonová,"4,5",247,1930
16.4717604886205,48.8566130629633,50,U Křížku,Drnholec,dřevo-kovová,11,209,2012
16.5136550452697,49.5170055389114,51,Burianova rozhledna (Milenka),Kunštát,kamenná,18,570,1931
16.81861740958,48.7925537179877,52,Vyhlídková věž Lednická kolonáda,Lednice,dřevěno-železná,"6,5",168,2014
